scorer,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000
bodyparts,bartop,bartop,bartop,barbot,barbot,barbot,eye,eye,eye,wing,wing,wing,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,ankle,ankle,ankle,sub1,sub1,sub1,sub2,sub2,sub2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
35,1119.9722900390625,217.55593872070312,0.9999505281448364,1112.1153564453125,372.4510498046875,0.9999678134918213,819.6078491210938,579.7637329101562,1.0,837.7325439453125,619.1072998046875,0.9999858140945435,883.7601928710938,705.7314453125,0.9999980926513672,868.231689453125,764.8060913085938,0.9999982118606567,828.7949829101562,682.5475463867188,0.9999982118606567,719.5510864257812,482.7342834472656,0.9999991655349731,754.5288696289062,556.1378784179688,0.9999992847442627
36,1119.9722900390625,217.55593872070312,0.9999523162841797,1112.1153564453125,372.4510498046875,0.9999697208404541,819.4017333984375,579.7861938476562,1.0,837.5009155273438,619.1072998046875,0.9999864101409912,883.6500854492188,705.578125,0.9999980926513672,868.071533203125,764.6778564453125,0.9999980926513672,828.69921875,682.5475463867188,0.9999982118606567,719.5510864257812,482.7342834472656,0.9999991655349731,754.5429077148438,556.1378784179688,0.9999992847442627
37,1119.874755859375,217.55593872070312,0.9999535083770752,1112.1202392578125,372.6022033691406,0.999972939491272,819.3259887695312,580.13818359375,1.0,837.297119140625,619.1316528320312,0.9999898672103882,883.4295654296875,705.5521850585938,0.9999979734420776,867.9202880859375,764.668701171875,0.9999982118606567,828.5798950195312,682.7951049804688,0.9999983310699463,719.4910888671875,482.86920166015625,0.9999991655349731,754.5288696289062,556.3577880859375,0.9999991655349731
38,1119.874755859375,217.55593872070312,0.9999535083770752,1112.1202392578125,372.65264892578125,0.9999730587005615,819.3259887695312,580.4426879882812,1.0,837.2622680664062,619.25244140625,0.9999889135360718,883.4295654296875,705.3898315429688,0.9999977350234985,867.853271484375,764.6007080078125,0.9999980926513672,828.5798950195312,682.7951049804688,0.9999984502792358,719.4910888671875,482.86920166015625,0.9999991655349731,754.5062866210938,556.3577880859375,0.9999991655349731
39,1119.874755859375,217.5392303466797,0.9999532699584961,1112.1202392578125,372.7193603515625,0.9999728202819824,819.3259887695312,580.5693359375,1.0,837.2622680664062,619.2693481445312,0.9999873638153076,883.4295654296875,705.2835083007812,0.9999971389770508,867.853271484375,764.5202026367188,0.9999982118606567,828.5798950195312,682.8177490234375,0.9999983310699463,719.4910888671875,482.86920166015625,0.9999991655349731,754.5062866210938,556.3577880859375,0.9999992847442627
40,1120.009033203125,217.3625946044922,0.9999551773071289,1112.23388671875,372.7203063964844,0.9999722242355347,819.4154663085938,580.732177734375,1.0,837.297119140625,619.3055419921875,0.9999871253967285,883.5681762695312,705.2835083007812,0.9999969005584717,867.853271484375,764.3756103515625,0.9999983310699463,828.5979614257812,682.9053955078125,0.9999982118606567,719.5340576171875,482.9118957519531,0.9999991655349731,754.5429077148438,556.3583984375,0.9999992847442627
41,1120.1507568359375,217.3625946044922,0.9999613761901855,1112.23388671875,372.7203063964844,0.9999721050262451,819.4171142578125,580.9725952148438,1.0,837.3350830078125,619.340576171875,0.9999843835830688,883.7281494140625,705.2835083007812,0.9999977350234985,867.8880615234375,764.3416748046875,0.9999984502792358,828.6740112304688,682.9053955078125,0.9999983310699463,719.5340576171875,482.9118957519531,0.9999991655349731,754.52880859375,556.2578125,0.9999992847442627
42,1120.16259765625,217.36253356933594,0.9999639987945557,1112.23388671875,372.78582763671875,0.999972939491272,819.517333984375,581.2781372070312,1.0,837.876220703125,619.4310913085938,0.9999715089797974,883.8627319335938,705.696044921875,0.9999985694885254,867.9586181640625,764.296142578125,0.9999985694885254,828.760498046875,682.944580078125,0.9999979734420776,719.5340576171875,482.9118957519531,0.9999991655349731,754.52880859375,556.2578125,0.9999992847442627
43,1120.1807861328125,217.3625946044922,0.9999661445617676,1112.138916015625,372.7968444824219,0.9999741315841675,819.5626220703125,581.4481811523438,1.0,837.9462890625,619.5909423828125,0.9999685287475586,883.8870239257812,706.2862548828125,0.9999990463256836,868.0365600585938,764.1990966796875,0.9999985694885254,828.7644653320312,683.0532836914062,0.9999982118606567,719.4592895507812,482.9330139160156,0.9999991655349731,754.5401611328125,556.29150390625,0.9999992847442627
44,1120.2373046875,217.38563537597656,0.999966025352478,1111.9150390625,372.82781982421875,0.9999781847000122,819.568603515625,581.6420288085938,0.9999998807907104,838.031494140625,619.828857421875,0.9999475479125977,883.9356079101562,706.7449951171875,0.9999992847442627,868.0413208007812,764.1990966796875,0.9999986886978149,828.7984008789062,683.1221313476562,0.9999980926513672,719.4425048828125,482.9782409667969,0.9999991655349731,754.5401611328125,556.3598022460938,0.9999992847442627
