scorer,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000
bodyparts,limb,limb,limb,Wing,Wing,Wing,WingBase,WingBase,WingBase,TailTip,TailTip,TailTip,Eye,Eye,Eye,LWood,LWood,LWood,RWood,RWood,RWood,sub1,sub1,sub1,sub2,sub2,sub2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
29,530.4654541015625,707.0878295898438,0.9999923706054688,490.0896301269531,601.9100952148438,0.9995686411857605,619.8005981445312,677.9591064453125,0.9998151659965515,647.4591064453125,739.2969970703125,0.999954342842102,436.90106201171875,580.6177368164062,0.9999994039535522,574.0632934570312,466.3069763183594,0.9999877214431763,762.9049072265625,453.5049743652344,0.9999773502349854,208.1448516845703,587.2420043945312,0.9999587535858154,780.9747314453125,828.7716674804688,0.9994634985923767
30,530.4654541015625,706.9879150390625,0.9999933242797852,483.7817077636719,601.7412719726562,0.9998494386672974,613.0361328125,677.81298828125,0.9999514818191528,638.1293334960938,735.5800170898438,0.9996546506881714,431.02398681640625,578.6715087890625,0.9999908208847046,574.0632934570312,466.310302734375,0.9999868869781494,762.9049072265625,453.5049743652344,0.999976396560669,208.04037475585938,587.2420043945312,0.9999637603759766,781.1702270507812,828.7716674804688,0.9995001554489136
31,530.4654541015625,706.46875,0.9999921321868896,477.04443359375,601.7412719726562,0.9994487166404724,605.9693603515625,677.5897827148438,0.9997194409370422,631.4540405273438,734.2350463867188,0.9998549222946167,425.1570739746094,577.4371337890625,0.9999891519546509,573.9949951171875,466.310302734375,0.999988317489624,762.86865234375,453.4798278808594,0.9999711513519287,208.01934814453125,587.2420043945312,0.9999552965164185,781.2144165039062,828.7716674804688,0.9995119571685791
32,530.6754760742188,706.2184448242188,0.9999901056289673,472.9368591308594,601.7412719726562,0.999809205532074,599.4134521484375,677.1929931640625,0.9997983574867249,625.1903076171875,734.2350463867188,0.9997535347938538,418.9205322265625,574.8985595703125,0.9999939203262329,573.9949951171875,466.310302734375,0.9999884366989136,762.86328125,453.4798278808594,0.9999703168869019,208.01934814453125,587.20947265625,0.999958872795105,781.7477416992188,828.6162109375,0.9994805455207825
33,530.6754760742188,706.200439453125,0.9999877214431763,468.8720397949219,601.7412719726562,0.9999285936355591,592.3198852539062,677.1929931640625,0.9991762042045593,617.9315795898438,734.0557250976562,0.999226450920105,413.8868713378906,573.0861206054688,0.9999656677246094,573.9721069335938,466.310302734375,0.9999880790710449,762.8630981445312,453.40325927734375,0.9999676942825317,208.01934814453125,587.226806640625,0.9999600648880005,781.8291015625,828.5314331054688,0.9994350075721741
34,530.8157348632812,705.9393310546875,0.9999877214431763,464.16937255859375,601.1389770507812,0.9998165965080261,588.6267700195312,677.1929931640625,0.9984671473503113,614.5262451171875,733.6767578125,0.9999233484268188,408.3792419433594,569.9437255859375,0.999991774559021,573.9824829101562,466.310302734375,0.9999889135360718,762.7274780273438,453.40325927734375,0.9999697208404541,208.01934814453125,587.226806640625,0.9999563694000244,781.89697265625,828.6162109375,0.9994844198226929
35,531.0603637695312,705.2429809570312,0.9999849796295166,458.8947448730469,599.811767578125,0.9998538494110107,585.9483642578125,677.1929931640625,0.9908058047294617,609.7706909179688,732.3526611328125,0.9999496936798096,404.2048034667969,567.1392822265625,0.9999986886978149,573.9949951171875,466.39111328125,0.9999885559082031,762.686279296875,453.4798278808594,0.9999697208404541,207.93101501464844,587.226806640625,0.9999604225158691,782.0905151367188,828.784912109375,0.9995842576026917
36,531.0603637695312,704.8462524414062,0.9999836683273315,453.42242431640625,596.1865844726562,0.9999831914901733,583.4833374023438,677.0457763671875,0.9147182703018188,604.1581420898438,729.821533203125,0.9998500347137451,399.8809509277344,564.796875,0.999996542930603,574.0197143554688,466.39111328125,0.9999884366989136,762.5321044921875,453.49273681640625,0.9999678134918213,207.89988708496094,587.2155151367188,0.9999563694000244,782.1782836914062,828.6566162109375,0.999665379524231
37,531.0603637695312,704.5057983398438,0.9999842643737793,449.0359191894531,594.1659545898438,0.9999711513519287,582.6692504882812,676.595947265625,0.8349507451057434,601.2793579101562,729.613525390625,0.9999129772186279,395.74700927734375,562.4154663085938,0.9999926090240479,573.9824829101562,466.35162353515625,0.9999892711639404,762.4979248046875,453.58636474609375,0.9999610185623169,207.89988708496094,587.226806640625,0.9999593496322632,782.1885986328125,828.6566162109375,0.9995611310005188
38,530.132568359375,703.0594482421875,0.9999641180038452,444.6667175292969,591.4635620117188,0.9998286962509155,576.3050537109375,666.186767578125,0.30797451734542847,597.9035034179688,726.2055053710938,0.9999762773513794,390.7429504394531,559.214599609375,0.9999951124191284,573.9824829101562,466.35162353515625,0.9999879598617554,762.1226196289062,453.73565673828125,0.999942421913147,207.88157653808594,587.2296142578125,0.999957799911499,782.1885986328125,828.6566162109375,0.9995443224906921
39,529.9531860351562,700.6884155273438,0.9999768733978271,441.2777099609375,588.7907104492188,0.999778687953949,567.7946166992188,657.394775390625,0.9947224855422974,593.0656127929688,720.9575805664062,0.9999545812606812,386.4612121582031,555.2720947265625,0.9999973773956299,574.0197143554688,466.35162353515625,0.9999880790710449,761.4217529296875,453.7486572265625,0.9999312162399292,207.87014770507812,587.2512817382812,0.9999573230743408,782.1885986328125,828.6333618164062,0.9995200634002686
40,528.825927734375,696.498779296875,0.9999690055847168,436.3837585449219,585.2385864257812,0.9999393224716187,562.7373657226562,651.9125366210938,0.9967935681343079,587.8438110351562,711.2615966796875,0.9998570680618286,382.0507507324219,551.3219604492188,0.9999793767929077,574.02685546875,466.35162353515625,0.9999881982803345,760.8406982421875,453.7869567871094,0.9999159574508667,207.87014770507812,587.313720703125,0.99996018409729,782.3255004882812,828.4775390625,0.9993591904640198
